expression,template_type,error
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore(((low - ts_mean(low, 10)) / (1 + ts_std_dev(low, 10))))",volatility_reversion,exact-fingerprint-match
"ts_rank((ts_delta(low, 20) - ts_delta(low, 40)), 20)",acceleration,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_decay_linear((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 10)), 60)",price_volume_divergence,high-structural-overlap
"ts_rank((ts_rank((operating_margin / (1 + eps)), 60) - ts_rank((eps / (1 + operating_margin)), 60)), 60)",quality_efficiency,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(close, 10) - ts_delta(close, 20)))",acceleration,high-structural-overlap
"ts_rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 120) - ts_rank(close, 60)), 120)), 120)",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(vwap, 60) - ts_rank((ts_rank(sales, 10) - ts_rank(sales, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,high-structural-overlap
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank(((low - ts_mean(low, 10)) / (1 + ts_std_dev(low, 10))), 10)",volatility_reversion,exact-fingerprint-match
"rank((ts_delta(returns, 10) - ts_delta(returns, 40)))",acceleration,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 120) - ts_rank(close, 60)), 120)), 120)",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"zscore(group_neutralize(((vwap - ts_mean(vwap, 5)) / (1 + ts_rank(adv20, 5))), subindustry))",liquidity_reversal,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(close, 60), 3)))",price_volume_divergence,high-structural-overlap
"ts_rank((ts_delta(returns, 20) - ts_delta(returns, 40)), 20)",acceleration,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_decay_linear((ts_rank(close, 60) - ts_rank((ts_rank(close, 5) - ts_rank(close, 60)), 5)), 5)",fundamental_momentum_spread,high-structural-overlap
"ts_decay_linear((ts_rank(close, 60) - ts_rank((ts_rank(close, 120) - ts_rank(close, 60)), 120)), 120)",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank((ts_delta(returns, 20) - ts_delta(returns, 20)), 20)",acceleration,identity-subtraction
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank((ts_delta(returns, 60) - ts_delta(returns, 20)), 60)",acceleration,high-structural-overlap
"zscore((ts_rank(close, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,high-structural-overlap
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 120) - ts_delta(vwap, 60)), 120)",acceleration,high-structural-overlap
"ts_rank((ts_delta(returns, 20) - ts_delta(returns, 40)), 20)",acceleration,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore(((returns - ts_mean(returns, 40)) / (1 + ts_std_dev(returns, 40))))",volatility_reversion,high-structural-overlap
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 20) - ts_delta(returns, 40)))",acceleration,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_delta(vwap, 10) - ts_decay_linear(ts_delta(vwap, 10), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 20) - ts_delta(returns, 40)))",acceleration,high-structural-overlap
"rank((ts_delta(vwap, 60) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,high-structural-overlap
"rank(((vwap - ts_min(vwap, 120)) / (1 + (ts_max(vwap, 120) - ts_min(vwap, 120)))))",breakout,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 20) - ts_delta(vwap, 40)), 20)",acceleration,high-structural-overlap
"ts_rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 120) - ts_rank(close, 60)), 120)), 120)",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank((ts_delta(returns, 5) - ts_delta(returns, 20)), 5)",acceleration,high-structural-overlap
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"rank(((vwap - ts_mean(vwap, 10)) / (1 + ts_std_dev(vwap, 10))))",volatility_reversion,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"rank((ts_rank(operating_margin, 20) - ts_rank(book_value, 20)))",fundamental_cross,Simulation failed with status: error
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(close, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,high-structural-overlap
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank((ts_delta(low, 5) - ts_delta(low, 20)), 5)",acceleration,high-structural-overlap
"ts_rank((ts_delta(returns, 5) - ts_delta(returns, 20)), 5)",acceleration,high-structural-overlap
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore(((returns - ts_mean(returns, 40)) / (1 + ts_std_dev(returns, 40))))",volatility_reversion,high-structural-overlap
"rank((ts_delta(returns, 10) - ts_decay_linear(ts_delta(vwap, 10), 3)))",price_volume_divergence,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)), 60)",price_volume_divergence,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank((ts_delta(returns, 10) - ts_delta(returns, 20)), 10)",acceleration,high-structural-overlap
"rank(((returns - ts_mean(returns, 10)) / (1 + ts_std_dev(returns, 10))))",volatility_reversion,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(vwap, 60) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank(((low - ts_mean(low, 10)) / (1 + ts_std_dev(low, 10))), 10)",volatility_reversion,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,exact-fingerprint-match
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(cashflow, 20) - ts_rank((ts_rank(close, 10) - ts_rank(close, 20)), 10)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_delta(close, 5) - ts_delta(close, 40)))",acceleration,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,exact-fingerprint-match
