expression,template_type,error
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 10) - ts_rank(sales, 10)))",fundamental_cross,exact-fingerprint-match
"rank((ts_rank(operating_margin, 10) - ts_rank(sales, 10)))",fundamental_cross,high-structural-overlap
"zscore((ts_rank(eps, 60) - ts_rank(sales, 60)))",fundamental_cross,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_delta(close, 5) - ts_decay_linear(ts_delta(adv20, 5), 5)))",price_volume_divergence,Simulation 2DG3xsgjN4luchizl0SoH4H timed out
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,exact-fingerprint-match
"ts_rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)), 10)",momentum,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"rank((ts_delta(high, 120) - ts_delta(high, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_rank((sales / (1 + eps)), 60) - ts_rank(eps, 60)))",quality_value,Simulation 1gSeqM9cb4hYaXv1kS293NN timed out
"zscore((((close - ts_max(close, 40)) / (1 + ts_std_dev(close, 40))) * ts_rank(adv20, 40)))",volume_confirmed_breakout,Simulation failed with status: error
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,exact-fingerprint-match
"ts_rank((ts_rank((returns / (1 + eps)), 60) - ts_rank((eps / (1 + returns)), 60)), 60)",quality_efficiency,Simulation 1P2YDcMl5hVcf81bdUUdtAI timed out
"zscore((ts_rank(sales, 60) - ts_rank(eps, 60)))",fundamental_cross,high-structural-overlap
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,exact-fingerprint-match
"rank(((close - ts_mean(close, 10)) / (1 + (ts_max(close, 10) - ts_min(close, 10)))))",range_reversion,Simulation failed with status: error
"rank(((high - ts_min(high, 120)) / (1 + (ts_max(high, 120) - ts_min(high, 120)))))",breakout,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"ts_rank(((low - ts_min(low, 20)) / (1 + (ts_max(low, 20) - ts_min(low, 20)))), 20)",breakout,Simulation failed with status: error
"ts_rank(((close - ts_min(close, 60)) / (1 + (ts_max(close, 60) - ts_min(close, 60)))), 60)",breakout,Simulation failed with status: error
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,exact-fingerprint-match
"rank((ts_delta(vwap, 120) - ts_delta(vwap, 20)))",acceleration,high-structural-overlap
"rank(((vwap - ts_mean(vwap, 10)) / (1 + (ts_max(vwap, 10) - ts_min(vwap, 10)))))",range_reversion,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
