expression,template_type,status,stage,universe,checks_failed,behavior_similarity,sharpe,fitness,returns,drawdown,turnover,margin,reward
"ts_decay_linear((ts_delta(returns, 20) - ts_delta(returns, 40)), 20)",acceleration,complete,IS,TOP3000,0,1.0,0.01,0.0,0.001,0.2477,0.3757,5e-06,-1.004351
"ts_rank((ts_delta(cashflow, 10) - ts_delta(cashflow, 60)), 10)",acceleration,complete,IS,TOP3000,0,0.950846901642614,-0.31,-0.07,-0.0243,0.2587,0.4207,-0.000115,-1.148205
"rank(((returns - ts_mean(returns, 40)) / (1 + ts_std_dev(returns, 40))))",volatility_reversion,complete,IS,TOP3000,0,0.9531272565532413,-1.22,-0.38,-0.1255,0.6548,1.328,-0.000189,-1.642684
"ts_rank((ts_delta(close, 5) - ts_delta(close, 40)), 5)",acceleration,complete,IS,TOP3000,0,0.957851282417785,-0.25,-0.03,-0.0159,0.2522,0.9438,-3.4e-05,-1.103338
"zscore((ts_rank(returns, 60) - ts_rank((ts_rank(eps, 10) - ts_rank(eps, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9417848098739543,-1.73,-0.61,-0.0746,0.3845,0.6046,-0.000247,-1.933003
"zscore((ts_rank(high, 60) - ts_rank((ts_rank(adv20, 10) - ts_rank(adv20, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.72,-0.26,-0.0594,0.3274,0.4633,-0.000256,-1.3995739999999999
"zscore((ts_rank(close, 20) - ts_rank((ts_rank(adv20, 10) - ts_rank(adv20, 20)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9729438344813204,-1.14,-0.43,-0.086,0.4254,0.6187,-0.000278,-1.6411419999999999
"ts_rank((ts_delta(cashflow, 20) - ts_delta(cashflow, 40)), 20)",acceleration,complete,IS,TOP3000,0,0.9687938259792015,0.68,0.28,0.0396,0.0727,0.2305,0.000344,-0.613013
"rank((ts_rank(eps, 20) - ts_rank(cashflow, 20)))",fundamental_cross,complete,IS,TOP3000,0,0.9696307604590787,0.31,0.07,0.0125,0.0646,0.2147,0.000117,-0.862438
"rank(group_neutralize((close - ts_mean(close, 40)), subindustry))",mean_reversion,complete,IS,TOP3000,0,0.8544572194192637,-1.42,-0.92,-0.0959,0.4994,0.2277,-0.000842,-1.046654
"rank((ts_delta(low, 10) - ts_delta(low, 20)))",acceleration,complete,IS,TOP3000,0,1.0,0.09,0.01,0.0064,0.2123,0.3937,3.3e-05,-0.972357
"zscore((ts_delta(close, 20) - ts_decay_linear(ts_delta(close, 20), 3)))",price_volume_divergence,complete,IS,TOP3000,0,0.9389657585792301,-1.22,-0.37,-0.1074,0.5576,1.1633,-0.000185,-1.63182
"ts_rank((ts_delta(low, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)), 60)",price_volume_divergence,complete,IS,TOP3000,0,0.929557803044818,-0.94,-0.21,-0.0593,0.3084,1.1611,-0.000102,-1.432496
"ts_decay_linear((ts_delta(returns, 60) - ts_decay_linear(ts_delta(close, 60), 3)), 60)",price_volume_divergence,complete,IS,TOP3000,0,0.9353214514895498,0.0,0.0,0.0001,0.2511,0.0336,9e-06,-1.007525
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9656180179912859,1.7,0.62,0.0959,0.0536,0.7246,0.000265,-0.08093600000000001
"ts_decay_linear(((returns - ts_mean(returns, 120)) / (1 + ts_std_dev(returns, 120))), 120)",volatility_reversion,complete,IS,TOP3000,0,0.8364658467681545,-1.07,-1.13,-0.1796,0.9968,0.162,-0.002218,-1.099772
"ts_rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)), 60)",price_volume_divergence,complete,IS,TOP3000,0,0.9445582498563037,1.16,0.77,0.0934,0.0682,0.2094,0.000892,-0.14607399999999993
"ts_rank((ts_rank(returns, 20) - ts_rank((ts_rank(close, 10) - ts_rank(close, 20)), 10)), 10)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9474733371195444,-0.41,-0.06,-0.0197,0.1982,1.0119,-3.9e-05,-1.169522
"zscore((ts_rank(eps, 20) - ts_rank(vwap, 20)))",fundamental_cross,complete,IS,TOP3000,0,0.8923695487723831,1.06,0.5,0.1002,0.0885,0.448,0.000447,0.648361
"zscore((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.0,-0.0,-0.0001,0.1205,1.0044,-0.0,-1.003623
"ts_decay_linear((ts_delta(close, 120) - ts_delta(close, 60)), 120)",acceleration,complete,IS,TOP3000,0,0.9360535877128089,-0.08,-0.02,-0.0091,0.3063,0.026,-0.000699,-1.046917
"rank((ts_rank(low, 60) - ts_rank((ts_rank(close, 20) - ts_rank(close, 60)), 20)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,0.04,0.0,0.0034,0.1697,0.4265,1.6e-05,-0.992819
"rank((ts_rank(returns, 20) - ts_rank((ts_rank(volume, 10) - ts_rank(volume, 20)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9226408525922566,-1.31,-0.32,-0.0657,0.3514,1.0685,-0.000123,-1.616798
"rank((ts_rank(vwap, 60) - ts_rank((ts_rank(sales, 10) - ts_rank(sales, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9988464568186964,-0.84,-0.44,-0.0545,0.3055,0.2012,-0.000542,-1.551525
"rank(group_neutralize(((returns - ts_mean(returns, 20)) / (1 + ts_rank(adv20, 20))), subindustry))",liquidity_reversal,complete,IS,TOP3000,0,0.934923098346009,-1.3,-0.37,-0.104,0.5401,1.2777,-0.000163,-1.655023
"ts_rank((ts_rank(close, 10) - ts_rank(close, 20)), 10)",momentum,complete,IS,TOP3000,0,0.9169517655625925,-1.31,-0.39,-0.0692,0.3701,0.78,-0.000177,-0.663139
"zscore((ts_rank(vwap, 20) - ts_rank((ts_rank(close, 120) - ts_rank(close, 20)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9768015426717276,-1.24,-0.59,-0.1136,0.5989,0.4957,-0.000458,-1.7825550000000001
"ts_decay_linear((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,complete,IS,TOP3000,0,0.9765892341445365,0.33,0.15,0.0409,0.2712,0.1859,0.00044,-0.808364
"ts_decay_linear((ts_rank(vwap, 20) - ts_rank((ts_rank(close, 120) - ts_rank(close, 20)), 120)), 120)",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.17,-0.06,-0.0177,0.339,0.0727,-0.000485,-1.101586
"rank((ts_rank(sales, 120) - ts_rank(cashflow, 120)))",fundamental_cross,complete,IS,TOP3000,0,1.0,0.04,0.0,0.0018,0.0933,0.0538,6.8e-05,-0.990655
"rank((ts_delta(close, 5) - ts_decay_linear(ts_delta(vwap, 5), 3)))",price_volume_divergence,complete,IS,TOP3000,0,0.9453064785331925,-1.44,-0.44,-0.0964,0.4987,1.0247,-0.000188,-1.740673
"zscore((ts_rank(high, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,0.08,0.01,0.0072,0.2092,0.5393,2.7e-05,-0.9752
"zscore((ts_delta(returns, 5) - ts_decay_linear(ts_delta(close, 5), 5)))",price_volume_divergence,complete,IS,TOP3000,0,1.0,1.22,0.72,0.1277,0.0877,0.3625,0.000705,-0.15841500000000008
"rank((ts_rank(returns, 60) - ts_rank(eps, 60)))",fundamental_cross,complete,IS,TOP3000,0,0.900210308460949,-1.63,-0.52,-0.0882,0.4585,0.8763,-0.000201,-0.847811
"rank((ts_rank(eps, 20) - ts_rank((ts_rank(close, 10) - ts_rank(close, 20)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,1.25,0.36,0.0586,0.0472,0.7257,0.000161,-0.38772799999999996
"zscore(group_neutralize((returns - ts_mean(returns, 40)), industry))",mean_reversion,complete,IS,TOP3000,0,1.0,-0.98,-0.32,-0.1536,0.8021,1.4351,-0.000214,-1.538351
"rank((ts_rank(returns, 40) - ts_rank((ts_rank(returns, 60) - ts_rank(returns, 40)), 60)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9907589082230984,-1.22,-0.29,-0.0669,0.3527,1.1983,-0.000112,-1.570433
"rank(((low - ts_mean(low, 10)) / (1 + ts_std_dev(low, 10))))",volatility_reversion,complete,IS,TOP3000,0,1.0,-1.6,-0.88,-0.1557,0.7851,0.5121,-0.000608,-2.088009
"zscore((ts_rank(vwap, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,0.08,0.01,0.0071,0.1931,0.523,2.7e-05,-0.974725
"zscore((ts_rank((eps / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,complete,IS,TOP3000,0,1.0,0.2,0.05,0.0072,0.0959,0.0507,0.000282,-0.909801
"ts_rank((ts_delta(eps, 5) - ts_delta(eps, 40)), 5)",acceleration,complete,IS,TOP3000,0,0.925408409020664,-0.15,-0.01,-0.0064,0.1059,0.7751,-1.7e-05,-1.055189
"zscore((ts_delta(volume, 60) - ts_delta(volume, 20)))",acceleration,complete,IS,TOP3000,0,0.9014237681047087,-0.08,-0.01,-0.0108,0.5537,0.9707,-2.2e-05,-0.047975
"zscore((ts_delta(vwap, 10) - ts_decay_linear(ts_delta(vwap, 10), 3)))",price_volume_divergence,complete,IS,TOP3000,0,0.9334036558283012,-0.53,-0.11,-0.0461,0.2765,1.092,-8.4e-05,-1.242483
"zscore((ts_rank(cashflow, 120) - ts_rank((ts_rank(close, 20) - ts_rank(close, 120)), 20)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9908249718558166,1.17,0.42,0.0651,0.0501,0.5065,0.000257,-0.37229500000000004
"zscore((ts_rank(returns, 120) - ts_rank((ts_rank(vwap, 60) - ts_rank(vwap, 120)), 60)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9578216588547601,-1.01,-0.28,-0.0677,0.3452,0.8954,-0.000151,-1.500772
"rank((ts_rank((eps / (1 + sales)), 60) - ts_rank(sales, 60)))",quality_value,complete,IS,TOP3000,0,1.0,0.03,0.0,0.001,0.0737,0.0637,3e-05,-0.993131
"zscore(group_neutralize((vwap - ts_mean(vwap, 10)), sector))",mean_reversion,complete,IS,TOP3000,0,0.8883268611519999,-1.27,-0.68,-0.1399,0.6927,0.4872,-0.000574,-0.8549730000000001
"zscore((ts_rank(close, 60) - ts_rank((ts_rank(volume, 5) - ts_rank(volume, 60)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-1.11,-0.34,-0.0859,0.4812,0.9087,-0.000189,-1.5753080000000002
"zscore((ts_rank(close, 20) - ts_rank((ts_rank(close, 5) - ts_rank(close, 20)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9608701626193039,-0.79,-0.25,-0.0699,0.3939,0.718,-0.000195,-1.416909
"zscore((ts_delta(low, 40) - ts_delta(low, 20)))",acceleration,complete,IS,TOP3000,0,0.9910584719204811,0.03,0.0,0.0026,0.2899,0.28,1.9e-05,-0.999489
"rank(group_neutralize(((vwap - ts_mean(vwap, 20)) / (1 + ts_rank(adv20, 20))), sector))",liquidity_reversal,complete,IS,TOP3000,0,0.9309160097031502,-1.27,-0.75,-0.1222,0.6438,0.3518,-0.000695,-1.89759
"ts_rank((ts_rank((vwap / (1 + sales)), 120) - ts_rank(sales, 120)), 120)",quality_value,complete,IS,TOP3000,0,0.9351609028973047,-0.84,-0.39,-0.0426,0.2384,0.1982,-0.00043,-1.51606
"zscore((ts_delta(returns, 10) - ts_delta(returns, 40)))",acceleration,complete,IS,TOP3000,0,0.943529048567139,-0.7,-0.17,-0.0818,0.4504,1.4488,-0.000113,-1.340556
"ts_rank(group_neutralize((returns - ts_mean(returns, 40)), industry), 40)",mean_reversion,complete,IS,TOP3000,0,0.9533170429274056,-1.1,-0.31,-0.1034,0.5441,1.3184,-0.000157,-1.556095
"ts_rank((ts_rank(low, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)), 10)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9516525845671142,0.4,0.07,0.0219,0.0853,0.7872,5.6e-05,-0.835307
"zscore(group_neutralize((close - ts_mean(close, 20)), sector))",mean_reversion,complete,IS,TOP3000,0,0.923767215644037,-1.37,-0.9,-0.1581,0.7832,0.3662,-0.000864,-2.032144
"ts_rank((ts_delta(close, 10) - ts_delta(close, 20)), 10)",acceleration,complete,IS,TOP3000,0,0.9788308777068206,-0.42,-0.08,-0.0258,0.1608,0.6945,-7.4e-05,-1.184888
"rank((ts_rank((cashflow / (1 + sales)), 10) - ts_rank(sales, 10)))",quality_value,complete,IS,TOP3000,0,0.9383139998598672,0.62,0.21,0.0389,0.0945,0.3407,0.000228,-0.6772229999999999
"rank(group_neutralize((returns - ts_mean(returns, 20)), sector))",mean_reversion,complete,IS,TOP3000,0,0.9800718217092241,-1.25,-0.39,-0.127,0.6605,1.3071,-0.000194,-1.6584750000000001
"ts_rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(cashflow, 10) - ts_rank(cashflow, 60)), 10)), 10)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9969441671845032,0.26,0.07,0.0101,0.0806,0.1389,0.000145,-0.87811
"zscore((ts_delta(cashflow, 5) - ts_delta(cashflow, 10)))",acceleration,complete,IS,TOP3000,0,0.8789535520622014,0.64,0.26,0.0961,0.245,0.5865,0.000328,0.361338
"zscore(group_neutralize((close - ts_mean(close, 40)), industry))",mean_reversion,complete,IS,TOP3000,0,0.9470265728765421,-1.06,-0.74,-0.1266,0.654,0.2575,-0.000983,-1.828748
"ts_decay_linear((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)), 10)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9906495854751468,0.06,0.01,0.0047,0.1264,0.2961,3.2e-05,-0.978916
"ts_rank((ts_delta(returns, 5) - ts_delta(returns, 10)), 5)",acceleration,complete,IS,TOP3000,0,0.9954874221150493,-0.24,-0.02,-0.0144,0.3043,1.3556,-2.1e-05,-1.095281
"rank((ts_rank((returns / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,complete,IS,TOP3000,0,0.9290855717664128,-1.38,-0.46,-0.0867,0.4469,0.7961,-0.000218,-1.733343
"rank(group_neutralize((vwap - ts_mean(vwap, 40)), industry))",mean_reversion,complete,IS,TOP3000,0,0.9398924667200982,-1.14,-0.81,-0.1074,0.5773,0.2133,-0.001007,-1.894411
"rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(vwap, 10) - ts_rank(vwap, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,1.58,0.56,0.0868,0.0569,0.6885,0.000252,-0.15676299999999987
"ts_rank((ts_rank(vwap, 60) - ts_rank((ts_rank(vwap, 10) - ts_rank(vwap, 60)), 10)), 10)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9695821792794557,0.24,0.03,0.0132,0.1129,0.7154,3.7e-05,-0.910831
"zscore((ts_rank((returns / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,complete,IS,TOP3000,0,1.0,-1.38,-0.46,-0.0915,0.4718,0.8264,-0.000222,-1.734474
"zscore((ts_rank(eps, 20) - ts_rank(sales, 20)))",fundamental_cross,complete,IS,TOP3000,0,0.9561075334124254,0.71,0.32,0.0475,0.1066,0.2306,0.000412,-0.578398
"ts_rank(((eps - ts_mean(eps, 10)) / (1 + ts_std_dev(eps, 10))), 10)",volatility_reversion,complete,IS,TOP3000,0,0.900654888191402,-0.76,-0.21,-0.0319,0.1939,0.4319,-0.000148,-0.372869
"ts_decay_linear((ts_delta(close, 120) - ts_decay_linear(ts_delta(close, 120), 10)), 120)",price_volume_divergence,complete,IS,TOP3000,0,0.9928901457960798,-0.29,-0.13,-0.0234,0.2115,0.0736,-0.000635,-1.179717
"ts_rank((ts_rank(cashflow, 20) - ts_rank((ts_rank(vwap, 10) - ts_rank(vwap, 20)), 10)), 10)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9677339925477121,0.7,0.15,0.0354,0.0654,0.8109,8.7e-05,-0.69163
"ts_rank((ts_delta(eps, 120) - ts_delta(eps, 20)), 120)",acceleration,complete,IS,TOP3000,0,0.9819456683605152,0.17,0.03,0.0042,0.0482,0.0578,0.000145,-0.9306099999999999
"zscore(group_neutralize(((returns - ts_mean(returns, 40)) / (1 + ts_rank(adv20, 40))), industry))",liquidity_reversal,complete,IS,TOP3000,0,0.9827841637960898,-1.05,-0.35,-0.1553,0.8052,1.4382,-0.000216,-1.57908
"zscore((ts_delta(vwap, 10) - ts_delta(vwap, 60)))",acceleration,complete,IS,TOP3000,0,1.0,0.11,0.03,0.0108,0.2393,0.1783,0.000121,-0.953815
"zscore((ts_rank((vwap / (1 + sales)), 10) - ts_rank(sales, 10)))",quality_value,complete,IS,TOP3000,0,0.9082356726052727,-1.57,-0.74,-0.1387,0.7099,0.6176,-0.000449,-0.984393
"rank((ts_rank(returns, 40) - ts_rank((ts_rank(cashflow, 10) - ts_rank(cashflow, 40)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9622728373938023,-1.69,-0.52,-0.1123,0.5766,1.1651,-0.000193,-1.871282
"rank(group_neutralize((vwap - ts_mean(vwap, 5)), subindustry))",mean_reversion,complete,IS,TOP3000,0,0.906600243805244,-1.97,-0.83,-0.1149,0.5684,0.6451,-0.000356,-1.156744
"ts_decay_linear((ts_delta(close, 10) - ts_delta(close, 20)), 10)",acceleration,complete,IS,TOP3000,0,0.9896868224665385,0.42,0.22,0.0516,0.2331,0.1858,0.000555,-0.733865
"zscore((ts_delta(eps, 5) - ts_delta(eps, 20)))",acceleration,complete,IS,TOP3000,0,1.0,0.05,0.01,0.0049,0.2684,0.2596,3.8e-05,-0.98616
"zscore(group_neutralize((vwap - ts_mean(vwap, 10)), industry))",mean_reversion,complete,IS,TOP3000,0,1.0,-1.27,-0.68,-0.1399,0.6927,0.4872,-0.000574,-1.8549730000000002
"rank((ts_delta(eps, 10) - ts_delta(eps, 40)))",acceleration,complete,IS,TOP3000,0,0.9333606179060452,-0.65,-0.23,-0.0203,0.1498,0.1579,-0.000258,-1.350618
"rank((ts_delta(vwap, 10) - ts_decay_linear(ts_delta(vwap, 10), 3)))",price_volume_divergence,complete,IS,TOP3000,0,0.9786856080962433,-1.21,-0.35,-0.0867,0.4411,1.0091,-0.000172,-1.6106690000000001
"ts_rank((ts_rank(sales, 120) - ts_rank((ts_rank(returns, 60) - ts_rank(returns, 120)), 60)), 60)",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.19,-0.02,-0.0075,0.1272,0.9385,-1.6e-05,-1.074416
"zscore((ts_rank((cashflow / (1 + sales)), 120) - ts_rank(sales, 120)))",quality_value,complete,IS,TOP3000,0,1.0,0.17,0.04,0.0064,0.0989,0.0476,0.000268,-0.925455
"rank((ts_rank(eps, 60) - ts_rank((ts_rank(sales, 120) - ts_rank(sales, 60)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9719268109116147,0.47,0.16,0.0136,0.0435,0.0789,0.000344,-0.755217
"zscore((ts_rank(sales, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,1.59,0.58,0.0833,0.0511,0.6179,0.00027,-0.14086900000000002
"zscore((ts_rank(eps, 60) - ts_rank((ts_rank(sales, 10) - ts_rank(sales, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9688807407467862,-0.17,-0.04,-0.0055,0.0846,0.1143,-9.7e-05,-1.079978
"rank((ts_rank(sales, 20) - ts_rank((ts_rank(returns, 120) - ts_rank(returns, 20)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9773440336113288,0.5,0.08,0.0241,0.0664,0.9831,4.9e-05,-0.798064
"rank((ts_rank(vwap, 60) - ts_rank((ts_rank(vwap, 5) - ts_rank(vwap, 60)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9177354549724768,-0.41,-0.1,-0.0365,0.3114,0.6456,-0.000113,-0.200262
"ts_rank((ts_rank((eps / (1 + sales)), 20) - ts_rank(sales, 20)), 20)",quality_value,complete,IS,TOP3000,0,0.9538147895933422,-0.49,-0.14,-0.0189,0.1445,0.23,-0.000165,-1.243847
"zscore(group_neutralize((close - ts_mean(close, 40)), subindustry))",mean_reversion,complete,IS,TOP3000,0,0.9195280686680275,-0.93,-0.53,-0.0857,0.4392,0.2631,-0.000651,-0.6435320000000001
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(sales, 10) - ts_rank(sales, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9717980740161443,-1.43,-0.47,-0.0716,0.3674,0.6689,-0.000214,-1.75125
"zscore((ts_delta(eps, 10) - ts_delta(eps, 40)))",acceleration,complete,IS,TOP3000,0,0.9929588458642447,-0.05,-0.01,-0.0039,0.2064,0.1677,-4.6e-05,-1.028004
"rank((ts_rank((vwap / (1 + sales)), 20) - ts_rank(sales, 20)))",quality_value,complete,IS,TOP3000,0,0.9308806804102226,-1.12,-0.52,-0.094,0.479,0.435,-0.000432,-1.69589
"rank((ts_rank((vwap / (1 + cashflow)), 10) - ts_rank(cashflow, 10)))",quality_value,complete,IS,TOP3000,0,0.8953253602254363,-1.3,-0.37,-0.0486,0.2758,0.6062,-0.00016,-0.6426620000000001
"rank((ts_rank(returns, 20) - ts_rank((ts_rank(cashflow, 5) - ts_rank(cashflow, 20)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9939672267843933,-1.59,-0.46,-0.1078,0.5563,1.2696,-0.00017,-1.801313
"ts_decay_linear((ts_rank(vwap, 60) - ts_rank((ts_rank(vwap, 5) - ts_rank(vwap, 60)), 5)), 5)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9862767584823724,-0.34,-0.11,-0.0344,0.2961,0.3364,-0.000205,-1.185135
"zscore((ts_delta(volume, 10) - ts_decay_linear(ts_delta(volume, 10), 3)))",price_volume_divergence,complete,IS,TOP3000,0,0.8853008901190347,0.14,0.02,0.0286,0.3059,1.4528,3.9e-05,0.04811100000000001
"ts_rank((ts_rank(returns, 60) - ts_rank(returns, 120)), 60)",momentum,complete,IS,TOP3000,0,1.0,0.7,0.12,0.0339,0.0781,1.117,6.1e-05,-0.711631
"zscore(group_neutralize(((returns - ts_mean(returns, 5)) / (1 + ts_rank(adv20, 5))), sector))",liquidity_reversal,complete,IS,TOP3000,0,0.9690424440239176,-0.51,-0.11,-0.0709,0.4455,1.4654,-9.7e-05,-1.243537
"rank((ts_delta(returns, 10) - ts_decay_linear(ts_delta(close, 10), 3)))",price_volume_divergence,complete,IS,TOP3000,0,0.9887091693427679,1.12,0.68,0.1004,0.0836,0.2742,0.000732,-0.216476
"zscore((ts_rank(vwap, 120) - ts_rank((ts_rank(vwap, 5) - ts_rank(vwap, 120)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.3,-0.06,-0.0305,0.3134,0.6679,-9.1e-05,-1.140842
"zscore((ts_rank(eps, 20) - ts_rank((ts_rank(sales, 120) - ts_rank(sales, 20)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.0,-0.0,-0.0001,0.0846,0.1161,-2e-06,-1.002546
"ts_decay_linear((ts_delta(close, 60) - ts_decay_linear(ts_delta(close, 60), 5)), 60)",price_volume_divergence,complete,IS,TOP3000,0,0.9781951836317139,-0.8,-0.55,-0.066,0.3687,0.1406,-0.000938,-1.613841
"rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(adv20, 10) - ts_rank(adv20, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9460914316903859,-0.12,-0.01,-0.0039,0.0636,0.4958,-1.6e-05,-1.04472
"ts_rank((ts_rank(eps, 60) - ts_rank((ts_rank(vwap, 120) - ts_rank(vwap, 60)), 120)), 120)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9883538651787307,-0.67,-0.24,-0.0336,0.2322,0.2699,-0.000249,-1.366654
"ts_decay_linear(((vwap - ts_mean(vwap, 120)) / (1 + ts_std_dev(vwap, 120))), 120)",volatility_reversion,complete,IS,TOP3000,0,0.9826936785261564,-0.05,-0.01,-0.0071,0.2928,0.0256,-0.000556,-1.030852
"rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(eps, 10) - ts_rank(eps, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9637556117591831,-0.6,-0.21,-0.0147,0.0989,0.1067,-0.000276,-1.320643
"zscore((ts_rank((close / (1 + sales)), 60) - ts_rank(sales, 60)))",quality_value,complete,IS,TOP3000,0,0.9878300265979154,-0.91,-0.49,-0.0622,0.3288,0.2167,-0.000574,-1.6063399999999999
"zscore((ts_delta(cashflow, 20) - ts_delta(cashflow, 60)))",acceleration,complete,IS,TOP3000,0,1.0,-0.02,-0.0,-0.0019,0.2054,0.1179,-3.2e-05,-1.012314
"zscore((ts_rank(cashflow, 20) - ts_rank(sales, 20)))",fundamental_cross,complete,IS,TOP3000,0,1.0,0.68,0.26,0.0341,0.0937,0.2326,0.000294,-0.6270830000000001
"ts_rank((ts_delta(returns, 120) - ts_decay_linear(ts_delta(close, 120), 3)), 120)",price_volume_divergence,complete,IS,TOP3000,0,0.9326717128245242,0.58,0.34,0.0499,0.1365,0.1477,0.000676,-0.605103
"zscore((ts_rank(vwap, 20) - ts_rank((ts_rank(vwap, 60) - ts_rank(vwap, 20)), 60)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9765429388141237,-1.21,-0.53,-0.1063,0.5507,0.5439,-0.000391,-1.7325249999999999
"ts_rank((ts_rank(eps, 20) - ts_rank((ts_rank(vwap, 5) - ts_rank(vwap, 20)), 5)), 5)",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.45,-0.07,-0.0255,0.2026,1.0414,-4.9e-05,-1.188618
"zscore((ts_delta(low, 20) - ts_decay_linear(ts_delta(vwap, 20), 3)))",price_volume_divergence,complete,IS,TOP3000,0,0.957063898942296,-0.92,-0.24,-0.0766,0.4179,1.1553,-0.000133,-1.450665
"rank((ts_delta(sales, 10) - ts_delta(sales, 20)))",acceleration,complete,IS,TOP3000,0,1.0,0.37,0.09,0.0201,0.1296,0.3134,0.000128,-0.8327800000000001
"rank(group_neutralize((returns - ts_mean(returns, 10)), subindustry))",mean_reversion,complete,IS,TOP3000,0,0.9651463143666444,-1.12,-0.3,-0.0906,0.4735,1.2734,-0.000142,-1.552453
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(vwap, 10) - ts_rank(vwap, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,1.58,0.57,0.09,0.0562,0.6915,0.00026,-0.14998599999999995
"rank(group_neutralize((close - ts_mean(close, 10)), sector))",mean_reversion,complete,IS,TOP3000,0,0.974614938596853,-1.67,-0.91,-0.1568,0.7788,0.5313,-0.00059,-2.1284080000000003
"zscore((ts_rank(returns, 60) - ts_rank((ts_rank(sales, 5) - ts_rank(sales, 60)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-1.38,-0.46,-0.0716,0.3679,0.6471,-0.000221,-1.729765
