expression,template_type,status,stage,universe,checks_failed,behavior_similarity,sharpe,fitness,returns,drawdown,turnover,margin,reward
"ts_rank(((returns - ts_mean(returns, 120)) / (1 + ts_std_dev(returns, 120))), 120)",volatility_reversion,complete,IS,TOP3000,0,0.979657259371394,-1.59,-0.49,-0.1334,0.6833,1.3838,-0.000193,-1.826671
"zscore((ts_rank((returns / (1 + sales)), 60) - ts_rank(sales, 60)))",quality_value,complete,IS,TOP3000,0,0.9191337508239343,-1.52,-0.49,-0.0982,0.5053,0.9551,-0.000206,-0.797515
"zscore((ts_rank(returns, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9043201591515465,-0.69,-0.15,-0.0442,0.266,0.9981,-8.9e-05,-0.316016
"ts_rank((ts_delta(close, 20) - ts_delta(close, 40)), 20)",acceleration,complete,IS,TOP3000,0,0.9066260814761636,0.22,0.04,0.0139,0.1169,0.5021,5.5e-05,0.089605
"ts_rank((ts_rank((cashflow / (1 + sales)), 60) - ts_rank((sales / (1 + cashflow)), 60)), 60)",quality_efficiency,complete,IS,TOP3000,0,0.9643640913043303,0.02,0.0,0.0003,0.0537,0.0944,7e-06,-0.995587
"ts_rank((ts_delta(returns, 20) - ts_delta(returns, 120)), 20)",acceleration,complete,IS,TOP3000,0,0.9029622796840554,0.47,0.07,0.0286,0.1266,1.3928,4.1e-05,0.18499
"zscore(group_neutralize(((vwap - ts_mean(vwap, 20)) / (1 + ts_rank(adv20, 20))), subindustry))",liquidity_reversal,complete,IS,TOP3000,0,0.9115903199778668,-1.05,-0.53,-0.0891,0.4545,0.3523,-0.000506,-0.680263
"zscore((ts_rank((cashflow / (1 + sales)), 120) - ts_rank((sales / (1 + cashflow)), 120)))",quality_efficiency,complete,IS,TOP3000,0,0.9202462893069934,0.62,0.2,0.0135,0.03,0.047,0.000574,-0.68382
"ts_rank(((vwap - ts_mean(vwap, 120)) / (1 + ts_std_dev(vwap, 120))), 120)",volatility_reversion,complete,IS,TOP3000,0,0.9166378488921343,-0.97,-0.6,-0.0835,0.4366,0.2197,-0.00076,-0.700778
"ts_rank((ts_delta(vwap, 5) - ts_delta(vwap, 10)), 5)",acceleration,complete,IS,TOP3000,0,0.9378188357711154,0.06,0.0,0.0042,0.267,0.8949,9e-06,-0.989674
"rank((ts_rank(cashflow, 120) - ts_rank((ts_rank(close, 10) - ts_rank(close, 120)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9342171332535856,1.51,0.52,0.0787,0.0472,0.6693,0.000235,-0.20412000000000008
"rank(((vwap - ts_mean(vwap, 60)) / (1 + ts_std_dev(vwap, 60))))",volatility_reversion,complete,IS,TOP3000,0,0.8874910655256691,-0.97,-0.73,-0.1146,0.6456,0.203,-0.001129,-0.794036
"ts_rank(((close - ts_mean(close, 60)) / (1 + ts_std_dev(close, 60))), 60)",volatility_reversion,complete,IS,TOP3000,0,0.9538995778133955,-1.01,-0.53,-0.0904,0.5047,0.3326,-0.000544,-1.669873
"zscore((ts_delta(returns, 10) - ts_delta(returns, 20)))",acceleration,complete,IS,TOP3000,0,0.9431533746443018,-0.49,-0.09,-0.0542,0.3417,1.4514,-7.5e-05,-1.220087
"zscore((ts_rank(vwap, 20) - ts_rank((ts_rank(vwap, 10) - ts_rank(vwap, 20)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.8997055150762613,-0.44,-0.11,-0.0352,0.2278,0.5209,-0.000135,-0.21315
"ts_rank(((eps - ts_mean(eps, 120)) / (1 + ts_std_dev(eps, 120))), 120)",volatility_reversion,complete,IS,TOP3000,0,0.9810975538853554,0.03,0.0,0.0009,0.0799,0.0574,3e-05,-0.993325
"rank((ts_delta(eps, 10) - ts_delta(eps, 20)))",acceleration,complete,IS,TOP3000,0,0.9108070194432655,-0.31,-0.07,-0.0162,0.1361,0.3206,-0.000101,-0.143879
"zscore((ts_delta(close, 20) - ts_delta(close, 40)))",acceleration,complete,IS,TOP3000,0,0.9745448374809889,-0.08,-0.01,-0.0074,0.2527,0.2985,-5e-05,-1.038673
"rank((ts_rank(vwap, 60) - ts_rank((ts_rank(close, 20) - ts_rank(close, 60)), 20)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9961657813383378,0.0,0.0,0.0002,0.1862,0.4083,1e-06,-1.00557
"rank(((close - ts_mean(close, 60)) / (1 + ts_std_dev(close, 60))))",volatility_reversion,complete,IS,TOP3000,0,0.9826879703537713,-1.05,-0.78,-0.1242,0.6897,0.2236,-0.001111,-1.852627
