expression,template_type,error
"ts_decay_linear(sub(ts_delta(close, 5), ts_decay_linear(ts_delta(adv20, 5), 3)), 5)",price_volume_divergence,400 Client Error: Bad Request for url: https://api.worldquantbrain.com/simulations
"rank(group_neutralize(sub(vwap, ts_mean(vwap, 5)), subindustry))",mean_reversion,400 Client Error: Bad Request for url: https://api.worldquantbrain.com/simulations
"rank(group_neutralize(sub(close, ts_mean(close, 40)), industry))",mean_reversion,400 Client Error: Bad Request for url: https://api.worldquantbrain.com/simulations
"rank(sub(ts_rank(close, 120), ts_rank(close, 120)))",momentum,400 Client Error: Bad Request for url: https://api.worldquantbrain.com/simulations
"rank(sub(ts_rank(vwap, 10), ts_rank(vwap, 120)))",momentum,400 Client Error: Bad Request for url: https://api.worldquantbrain.com/simulations
